Nombre,Procesador,RAM,Disco Duro,Pantalla,SO,Precio,Tarjeta Grafica
Convertible 2 en 1 Gaming ASUS ROG Flow Z13 GZ301ZC-LD110W,i7,16GB,512GB SSD,"13,4""",W11,949 €,GeForce RTX 3050 4GB
Portátil Gaming MSI Pulse GL66 12UEK-034ES,i7,32GB,1TB SSD,"15,6""",W11,1.499 €,GeForce RTX 3060 6GB
Portátil MSI Prestige 14 A12UC-209ES,i7,16GB,1TB SSD,"14""",W11,1.899 €,GeForce RTX 3050 4GB
Portátil Gaming ASUS ROG Strix SCAR 17 G733ZW-LL103W,i9,32GB,1TB SSD,"17,3""",W11,449 €,GeForce RTX 3070 Ti 8GB
Portátil Gaming ASUS ROG Strix G17 G713RW-LL009,Ryzen 9,32GB,1TB SSD,"17,3""",FreeDOS / Sin Sistema Operativo,899 €,GeForce RTX 3070 Ti 8GB
Portátil Gaming HP OMEN 16-c0025ns,Ryzen 7,16GB,512GB SSD,"16,1""",FreeDOS / Sin Sistema Operativo,849 €,GeForce RTX 3050Ti 4GB
Portátil Gaming HP VICTUS 16-d0076ns,i7,16GB,512GB SSD,"16,1""",W11,"279,65 €",Nvidia GeForce RTX 3060 6GB
Portátil Gaming ASUS ROG Strix G15 G513IM-HN161,Ryzen 7,32GB,1TB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,549 €,GeForce RTX 3060 6GB
Apple MacBook Pro 16 (2021),M1 Pro,16GB,512 GB SSD,MacOS,Gris espacial,2.529 €,"16"""
Portátil Gaming OMEN by HP 16-b1001ns,i7,32GB,1TB SSD,"16,1""",W11,2.299 €,Nvidia GeForce RTX 3070Ti 8GB
Apple MacBook Pro 14 (2021),M1 Pro,16GB,1TB SSD,MacOS,Plata,1.299 €,"14"""
Microsoft Surface Laptop Studio,i5,16GB,256GB SSD,W11,Platino,"668,23 €","14,4"""
Portátil Gaming Victus by HP 16-d1001ns,i7,16GB,512GB SSD,"16,1""",W11,1.899 €,Nvidia GeForce RTX 3050Ti 4GB
Convertible 2 en 1 Gaming ASUS ROG Flow Z13 GZ301ZE-LD183W,i9,16GB ,1TB SSD,"13,4""",W11,"635,59 €",GeForce RTX 3050 Ti 4GB
Portátil Gaming HP OMEN 16-n0005ns,Ryzen 7,16GB,1TB SSD,"16,1""",W11,999 €,GeForce RTX 3060 6GB
Portátil Gaming HP VICTUS 15-fa0025ns,i5,16GB,512GB SSD,"15,6""",W11,1.440 €,GeForce RTX 3050 4GB
Portátil Gaming OMEN by HP 16-b1013ns,i7,16GB,1TB SSD,"16,1""",FreeDOS / Sin Sistema Operativo,999 €,GeForce RTX 3060 6GB
Portátil Gaming HP VICTUS 15-fa0000ns,i5,16GB,512GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,729 €,GeForce GTX 1650 4GB
Portátil Gaming HP VICTUS 16-e1000ns,Ryzen 5,16GB,512GB SSD,"16,1""",FreeDOS / Sin Sistema Operativo,2.522 €,GeForce RTX 3050 4GB
Portátil Gaming Gaming HP VICTUS 15-fb0000ns,Ryzen 5,8GB,512GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,1.199 €,GeForce GTX 1650 4GB
Portátil Gaming Asus Tuf Dash F15 FX517ZM-HN093W,i7,16GB,512GB SSD,"15,6""",W11,3.533 €,GeForce RTX 3060 6GB
Apple MacBook Pro 16 (2021),M1 Max,32GB,1TB SSD,MacOS,Gris espacial,1.999 €,"16"""
Convertible 2 en 1 Gaming ASUS ROG Flow X16 GV601RM-M6074W,Ryzen 9,16GB,1TB SSD,"16""",W11,429 €,GeForce RTX 3060 6GB
Portátil MSI Prestige 15 A12UD-083ES,i7,32GB,1TB SSD,"15,6""",W11,1.499 €,GeForce RTX 3050Ti 4GB
Portátil Gaming HP VICTUS 15-fb0011ns,Ryzen 5,16GB,512GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,699 €,Radeon RX6500M 4GB
Portátil Gaming Acer Predator Helios 300 NH.QB6EB.002,i7,16GB,1TB SSD,"17,3""",FreeDOS / Sin Sistema Operativo,1.599 €,GeForce RTX 3060
Microsoft Surface Laptop 5,i5,8GB,512GB SSD,W11,Negro (metálico),1.699 €,"13,5"""
Portátil Lenovo IdeaPad Gaming 3 15ACH6,Ryzen 7,16GB,1TB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,1.999 €,GeForce RTX 3060 6GB
